Front,Back,Tags
Qu'est-ce que JavaScript ?,Langage de programmation interprété multi-paradigme (procédural / fonctionnel / OOP). Exécuté côté client (navigateur) et serveur (Node.js). Standardisé par ECMA (ECMAScript).,js-core fundamentals
Quelle est la différence entre const let et var ?,"const: portée bloc, non reassignable. let: portée bloc, reassignable. var: portée fonction, hoistée (éviter en ES6+).",js-core variables
Qu'est-ce que le hoisting ?,"JavaScript déplace les déclarations (pas les initialisations) en haut de leur portée avant l'exécution. var est initialisé à undefined. let/const sont dans la TDZ (Temporal Dead Zone) → ReferenceError si accédés avant déclaration.",js-core scope
Que retourne typeof null ?,"\"object\" — c'est un bug historique de JavaScript, null n'est pas un objet.",js-core types
Quelle est la différence entre == et === ?,"== compare les valeurs avec coercion de type (5 == '5' → true). === compare valeur ET type (5 === '5' → false). Toujours utiliser ===.",js-core operators
Qu'est-ce qu'une closure ?,"Une fonction qui mémorise les variables de son environnement lexical, même après que cet environnement a disparu. Utile pour l'encapsulation et les factories.",js-core functions
Qu'est-ce qu'une higher-order function ?,"Une fonction qui prend une ou plusieurs fonctions en argument et/ou retourne une fonction. Exemples : map, filter, reduce, setTimeout.",js-core functions
Que fait Array.prototype.reduce() ?,"Réduit un tableau à une valeur unique en appliquant un accumulateur à chaque élément. arr.reduce((acc, val) => acc + val, 0) → somme.",js-core arrays
Quelle est la différence entre null et undefined ?,"null: absence intentionnelle de valeur (assignée explicitement). undefined: variable déclarée mais non initialisée, paramètre manquant, propriété inexistante.",js-core types
Qu'est-ce qu'une Promise ?,"Objet représentant une valeur future. États: Pending → Fulfilled (resolve) ou Rejected (reject). Méthodes: .then() .catch() .finally().",js-core async
Qu'est-ce qu'async/await ?,"Syntaxe ES2017 sur les Promises. async transforme une fonction en retournant une Promise. await attend une Promise et retourne sa valeur résolue. Utiliser dans un try/catch.",js-core async
Quelle est la différence entre Promise.all et Promise.allSettled ?,"Promise.all: rejette dès qu'une Promise échoue. Promise.allSettled: attend toutes, retourne un tableau de {status, value/reason}. Utiliser allSettled quand les erreurs partielles sont acceptables.",js-core async
Qu'est-ce que le prototype chain ?,Mécanisme de recherche de propriétés en JavaScript. Si une propriété n'existe pas sur l'objet elle est cherchée sur son __proto__ et ainsi de suite jusqu'à Object.prototype puis null.,js-core oop
Quelle est la différence entre class et function constructor ?,"Les classes (ES6) sont du sucre syntaxique sur les prototypes. Elles imposent l'usage de new, supportent extends/super, et les méthodes sont non-énumérables. Fonctionnellement équivalentes mais plus lisibles.",js-core oop
Qu'est-ce que l'event delegation ?,"Attacher un listener à un parent plutôt qu'à chaque enfant. Le bubbling remonte les événements de l'enfant cliqué vers le parent. Plus performant pour les listes dynamiques.",js-core dom
Qu'est-ce que l'Event Loop ?,"Mécanisme qui vérifie si la Call Stack est vide pour y pousser des callbacks depuis les queues. Microtask queue (Promises) a priorité sur la Macrotask queue (setTimeout).",js-core async
Que fait Object.freeze() ?,"Rend un objet immuable: empêche l'ajout, la suppression et la modification de propriétés. Shallow: les objets imbriqués restent mutables.",js-core objects
Qu'est-ce que le currying ?,"Transformation d'une fonction f(a,b,c) en f(a)(b)(c). Permet la création de fonctions spécialisées (partial application). const add = a => b => a + b.",js-core functions
Quelle est la différence entre localStorage et sessionStorage ?,"localStorage: persiste jusqu'à effacement manuel (~5MB). sessionStorage: effacé à la fermeture de l'onglet. Les deux sont synchrones et string-only (JSON.stringify/parse nécessaire).",js-core dom
Qu'est-ce qu'un Symbol ?,"Type primitif ES6 créant une valeur unique et immuable. Symbol('id') !== Symbol('id'). Utilisé comme clef d'objet privée, métadonnée, ou protocole d'itération.",js-core types
Qu'est-ce que le spread operator ... ?,"Déploie un itérable (array, string, object). [...arr] clone un tableau. {...obj} clone un objet. fn(...args) passe un tableau comme arguments. Ne fait qu'une copie shallow.",js-core syntax
Qu'est-ce qu'un Map en JS ?,"Collection clef-valeur où les clefs peuvent être de n'importe quel type (vs Object où les clefs sont des strings/symbols). Conserve l'ordre d'insertion. API: set get has delete size.",js-core data-structures
Qu'est-ce qu'un Set en JS ?,"Collection de valeurs uniques. Utile pour dédoublonner: [...new Set(array)]. API: add has delete size. Itérable avec for...of.",js-core data-structures
Qu'est-ce que la déstructuration (destructuring) ?,"Syntaxe pour extraire des valeurs de tableaux ou propriétés d'objets dans des variables distinctes. const {a, b} = obj. const [x, y] = arr. Supporte valeurs par défaut et renommage.",js-core syntax
Comment calculer la TVA en JS ?,"const tax = amount * taxRate. const total = amount + tax. Ou amount * (1 + taxRate). Utiliser toFixed(2) pour l'affichage: total.toFixed(2).",js-core it-invoicing
Comment calculer le salaire net en JS ?,const cnss = gross * 0.09. const irg = (gross - cnss) * 0.25. const net = gross - cnss - irg. Les taux varient selon la législation.,js-core it-payroll
Comment vérifier l'équilibre d'une écriture comptable en JS ?,"const totalDebit = entries.reduce((s, e) => s + e.debit, 0). const totalCredit = entries.reduce((s, e) => s + e.credit, 0). const ok = totalDebit === totalCredit.",js-core it-accounting
Qu'est-ce que le pattern IIFE ?,"Immediately Invoked Function Expression: (function() { ... })(). Crée une portée privée pour éviter la pollution du scope global. Utilisé pour les modules avant ES6.",js-core patterns
Qu'est-ce que la memoization ?,"Technique d'optimisation: mettre en cache les résultats d'une fonction pour les mêmes arguments. Utile pour les calculs coûteux répétés (ex: amortissements, TVA).",js-core patterns
Qu'est-ce que l'optional chaining ?. ?,"Accès sécurisé aux propriétés imbriquées. a?.b?.c retourne undefined si a ou b est null/undefined au lieu de lancer une TypeError. ES2020.",js-core syntax
